,desc,location,size,value
211,4 bedroom townhouse in a gated community  for sale in karen,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
212,3 Bedroom Bungalow in Kiserian,"Kiserian, Kiserian, Nairobi, Nairobi",3 Bedrooms,KSh 9500000
213,serene land investment,"Riverside, Riverside, Nairobi, Nairobi",1 Bedrooms,KSh 300000000
214,Elegant Office Space for Sale in Kilimani,"Kindaruma Rd, Kilimani, Nairobi, Nairobi",1 Bedrooms,KSh 16000000
215,5 Bedroom Townhouse Karen,"Kasuku Dr, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
216,Prestigious! Karen Five Bedroom Townhouse with SQ,"karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
217,Lovely New 2 Bedroom  House in Lavington,"Lavington, Nairobi, Nairobi",2 Bedrooms,KSh 17000000
218,2 Exceptional Houses in the Heart of Old Muthaiga on 1.8 acres.,"Off Tchui Lane - Old Muthaiga, Muthaiga, Nairobi, Nairobi",9 Bedrooms,KSh 450000000
219,"5 Br Townhouse, Lavington","Mzima Springs, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
220,4 Bedroom Town House Plus Dsq.,"Siaya Road, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
221,5br Townhouse at  Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
222,4 Bedroom Townhouse Karen,"Fair Acres Rd Nairobi, Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
223,3 Bedroom Apartment,"6th Avenue, Parklands, Nairobi, Nairobi",3 Bedrooms,KSh 27000000
224,Vacation Living! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
225,Fabulous 4 Bedroom Town House,"Waiyaki  Way, Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
226,4-bedroom House on 1 Acre - Ideal for Redevelopment,"Riverside, Nairobi, Nairobi",4 Bedrooms,KSh 250000000
227,Beautiful Two House Property in Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 250000000
228,4 Bedroom Villa - Kajiado Town,"Kajiado, Nairobi, Nairobi",4 Bedrooms,KSh 18500000
229,"A New and Spacious 3 Bedroom Bungalow in New Valley, Kitengela","Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 7900000
230,City's Delight ! Parklands 4 Bedrooms Maisonette,"parklands ngao road, Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 22000000
231,"A Spacious 5 Bedroom all Ensuite Bungalow in Muigai Estate, Kitengela","Kitengela, Kajiado, Nairobi, Nairobi",5 Bedrooms,KSh 12000000
232,"3 Bedroom Master Ensuite Bungalow in Kitengela, Muigai Estate","Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 6500000
233,Townhouse in Kitusuru,"kirawa road, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 57500000
234,Maisonette at South C,"South C, Nairobi, Nairobi",4 Bedrooms,KSh 23000000
235,Lavish Living ! Lavington 5 Bedroom Townhouse,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
236,"House, 2 Br – Imara Daima, off Tegla Lorupe Rd","Imara Daima, Nairobi, Nairobi",2 Bedrooms,KSh 8000000
237,Townhouse in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
238,4 Bedroom Bungalow Karen,"Bogani road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 88000000
239,4 bedroomed maisonette with elegant finishes,"Utawala behind AP training school, Utawala , Nairobi, Nairobi",4 Bedrooms,KSh 11000000
240,Karen 4 Bed Townhouse with Ensuite SQ,"Near The Hub Karen (Dagoretti RD), Karen, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
241,4 Bedroom all En Suite Townhouse in a Gated Community in Karen,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
242,Beautiful Townhouse with Italian Finishing in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
243,3 Bedroom House for sale in Kileleshwa,"tebere cresent, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,KSh 112000000
244,Perfect! Kitengela Three Bedroom Bungalow,"Kitengela, Kajiado, Nairobi, Nairobi",3 Bedrooms,KSh 7400000
245,House in Syokimau,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 14000000
246,Graceful lilies ! Kilimani 4 Bedroom Maisonette,"kilimani, Kilimani, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
247,Runda  5 Bedroom House,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
248,Elegant Houses in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
249,Lavington Superb 5 Bedroom Townhouses,"chalbi drive, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
250,Townhouse For Sale In Syokimau (Kenya) - 3KE1321308,"Syokimau, Nairobi, Nairobi",3KE1321308 Object ID,KSh 11500000
251,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1313001,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
252,Modern 5 Bedroom All-Ensuite House in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
253,5 Bedroom in Kitengela New Valley Estate,"Machakos, Nairobi, Nairobi",5 Bedrooms,KSh 8000000
254,5 Bedroom Townhouse For Sale In Kilimani (Kenya) - 3KE1348541,"Kilimani, Nairobi, Nairobi",5 Bedrooms,~ KSh 53608246
255,Lovely New 3 Bedroom  House in  Lavington,"Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
256,4 Bedroom House For Sale In Kitisuru (Kenya) - 3KE1337286,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
257,Bright and Spacious Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
258,6 Bedroom House For Sale In Karen (Kenya) - 3KE1346197,"Karen, Nairobi, Nairobi",6 Bedrooms,KSh 79000000
259,House For Sale In Karen (Kenya) - 3KE1321420,"Karen, Nairobi, Nairobi",3KE1321420 Object ID,KSh 69000000
260,5 Bedroom House for Rent/sale in a Gated Comunity  in Lavington,"AMBOSELI GARDENS, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
261,Karen 5 Bedroom Townhouse,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
262,Gorgeous 4-bedroom standalone property on 1 acre piece of land,"LAVINGTON, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 260000000
263,Exclusive Modern 4 Bedroom Townhouse,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
264,Lavington- 4 Ensuite Bedroom House,"CHALBI DRIVE, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
265,"5 Bedroom House in Mwihoko, Nairobi","Githurai, Nairobi, Nairobi",5 Bedrooms,KSh 12500000
266,Classy 5 Bedrooms Executive Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
267,4 Bedroom Townhouse - Ridgeways,"Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 29000000
268,8 Bedroom House on 2.5 Acres,"Gigiri, Nairobi, Nairobi",8 Bedrooms,KSh 650000000
269,Lovely 5 Bedroom with servant quarters (sq) for sale in kitisuri,"Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
270,Luxurious 5 Bedroom with SQ in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
271,6 Bedroom House For Sale In Runda (Kenya) - 3KE1354324,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 73000000
272,6 Bedroom House For Sale In Karen (Kenya) - 3KE1500005,"Karen, Nairobi, Nairobi",6 Bedrooms,KSh 85000000
273,5 Bedroom House For Sale In Ridgeways (Kenya) - 3KE1374150,"Ridgeways, Nairobi, Nairobi",5 Bedrooms,KSh 86000000
274,Pleasant 6 Bedroom Maisonette in Golden Estate South B,"South B, Nairobi, Nairobi",6 Bedrooms,KSh 23000000
275,5 bedroom plus 2 DSQ,"Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
276,4 Bedroom Townhouse - Ridgeways,"Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 115000000
277,Brand New Smile! Ruiru Membley Estate House For Sale,"ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
278,Modern and Unique Townhouses,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
279,4 Bedroom House For Sale In Donholm (Kenya) - 3KE1368404,"Donholm, Nairobi, Nairobi",4 Bedrooms,KSh 17000000
280,4 Bedroom House For Sale In Spring Valley (Kenya) - 3KE1372274,"Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 130000000
281,Very Spacious 4 Bedroom plus Dsq Off plan Standard House for sale  in Kiambu Road at 40acre,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 28950000
282,Fairacres Country Homes Karen - PHASE 2,"Hekima road off Fair acres Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
283,Charming 4 Bedroom Home - Windsor Park,"Windsor Park, Ridgeways, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
284,3 Bedroom Double Storey House on 1 Acre Plot Adjoining Windsor Golf Club - S275,"Kigwa Ridge, Ridgeways, Nairobi, Nairobi",3 Bedrooms,KSh 160000000
285,Lavish 5 Bedroom House in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 115000000
286,5 Bedroom House for sale at Donyo Sabuk,"Donyo Sabuk, Westlands, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
287,4 Bedrooms Massionatte in Lavington,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
288,10 Bedroom House in Karen- 3KE1375839,"Hardy, Karen, Nairobi, Nairobi",10 Bedrooms,KSh 150000000
289,4 Bedroom House For Sale In Parklands (Kenya) - 3KE1372520,"Parklands, Nairobi, Nairobi",4 Bedrooms,KSh 43000000
290,"5 Bedroom Home on 06 Acres, Muthaiga","Coffee Garden Drive, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
291,House at 20 Njumbi Road,"Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
292,3 Bedroom House For Sale In Runda (Kenya) - 3KE1318856,"Runda, Nairobi, Nairobi",3 Bedrooms,KSh 69000000
293,Luxurious 5 Bedroom Villas in Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
294,Luxurious 4 Storey Townhouse,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
295,Elegant 4 Bedroom Towhouses With Dsq For Sale In Syokimau,"Airport Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 11500000
296,Six Bedroom Townhouse with a Two BR Guest Wing in a Gated Community,"st elizabeth, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 90000000
297,Eye candy Runda Paradise 4 bed townhouse!,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 23500000
298,"Aspire Townhouses, Chalbi Drive Drive Lavington","Lavington, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
299,Beautiful 5 Bedroom All Ensuite Townhouse in Lavington,"Nairobi, Nairobi",5 Bedrooms,KSh 75000000
300,"Syokimau, 4 Bedroom Standalone Villa","off Mombasa Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 18000000
301,"Beauty, Passion, Breathtaking ! 7 Bedroom House","spring valley, Spring Valley, Nairobi, Nairobi",7 Bedrooms,KSh 150000000
302,Ambassadorial House-Runda,"runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 145000000
303,Very Spacious Luxurious 5 Bedroom House Stand Alone Species in Mountain View,"Mountain View, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
304,6 Bedroom House For Sale In Lavington (Kenya) - 3KE1364210,"Lavington, Nairobi, Nairobi",6 Bedrooms,KSh 400000000
305,A 4 Bedroomed (all self-contained) House with SQ for Sale on Kiambu Rd - - opposite KIST,"Njathaini Rd, opposite Kiambu Institute of Technology (KIST), Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 31000000
306,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1365606,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 58500000
307,5 Bedroom House For Sale In Karen - 3ke1342762,"Karen Plains, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
308,4 Bedroom House For Sale In Karen (Kenya) - 3KE1348268,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 69000000
309,An Elegant and Beautiful 5 Bedroom House on 1 Acre in Muthaiga,"Muthaiga, Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 270000000
310,Bungalow at Nairobi,"Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 60000000
311,County cottage! Lavington Five Bedroom Townhouse With SQ,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
312,Townhouse at Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
313,4 Bedroom House in Karen  - 3KE1348268,"Karen Road, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 69000000
314,8 Bedroom House in Karen,"Karen, Karen, Nairobi, Nairobi",8 Bedrooms,KSh 150000000
315,5 Bedroom Unfinished Villa in Utawala,"Utawala, Utawala , Nairobi, Nairobi",5 Bedrooms,KSh 10000000
316,Ambassadorial Houses For Sale Along Kanjata Rd Lavington with Swimming Pool,"kanjata rd, Lavington, Nairobi, Nairobi",7 Bedrooms,KSh 250000000
317,3 Bedroom Maisonette With 4 Extensions  in South B,"South B, Nairobi, Nairobi",3 Bedrooms,KSh 17000000
318,5 Bedroom Townhouse in Lavington,"Amboseli Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 58500000
319,5 Bedroom Townhouse For Sale In Lavington (Kenya) - 3KE1302400,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 58000000
320,House at Muhugu Park- Karen,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
321,4 Bedroom House in Karen,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 85000000
322,Very Spacious Luxurious 5 Bedrooms House for sale in Kiambu Road,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 50250000
323,5 Bedroom Townhouse Syokimau,"Syokimau, Nairobi, Nairobi",5 Bedrooms,KSh 25000000
324,5 Bedroom House For Sale In Muthaiga North (Kenya) - 3KE1364402,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 180000000
325,Very Beautiful Luxurious 4 Bedroom plus Dsq Premium House Off plan for sale in Kiambu Road at 40 Acre,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 34500000
326,5 Bedroom House For Sale In Muthaiga (Kenya) - 3KE1328579,"Muthaiga, Nairobi, Nairobi",5 Bedrooms,KSh 470000000
327,Rosslyn Springs - 4 Bedroom Town Houses,"Gigiri, Gigiri, Nairobi, Nairobi",4 Bedrooms,KSh 73500000
328,Lovely New 5 Bedrooms  for sale in Lavington with SQ,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
329,Karen New Townhouse,"Karen bogani, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 99000000
330,Elegant Home - 4 Bedroom Runda,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
331,"Town Houses in Matasya, Ngong","Matasya, Ngong, Kajiado, Nairobi, Nairobi",4 Bedrooms,KSh 10000000
332,KAREN - 5 BEDROOMS TOWN HOUSE.,"Nandi/Miotoni road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
333,4 Bedroom House For Sale In Runda (Kenya) - 3KE1347171,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
334,A 4 Bdrm Townhouse,"It's along kiambu rd, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 45000000
335,Luxurious  7 Bedrooms  House  in Runda,"Runda, Nairobi, Nairobi",7 Bedrooms,KSh 220000000
336,6 Bedroom House For Sale In Karen (Kenya) - 3KE1354364,"Karen, Nairobi, Nairobi",6 Bedrooms,KSh 150000000
337,Lovely 4 Bedroom Home for sale - Runda,"runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
338,4 Bedroom Townhouse For Sale In Embakasi (Kenya) - 3KE1218789,"Embakasi, Nairobi, Nairobi",4 Bedrooms,KSh 12500000
339,6 Bedroom House on 1/2 Acre Plot in New Muthaiga,"Muthaiga, Nairobi, Nairobi",6 Bedrooms,KSh 170000000
340,Syokimau 4 Bedroom Townhouse all Ensiite,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 21000000
341,Amazing New Ambassadorial House For Sale In Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 120000000
342,Stunning Townhouses,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
343,"Investor Alert: 4 Bedroom Villas For Sale, Runda","Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
344,5 Bedroom House For Sale In Karen (Kenya) - 3KE1374072,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
345,"Lovely 4 Bedroom Townhouse, Syokimau","Mombasa road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 19000000
346,Stunning 6 Bedroom Mansion for sale,"runda, Runda, Nairobi, Nairobi",6 Bedrooms,KSh 160000000
347,4 Bedroom House for sale in Karen - 3KE1323941,"Fair Acres, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
348,4 Bedroom House For Sale In Windsor (Kenya) - 3KE1362572,"windsor, Nairobi, Nairobi",4 Bedrooms,KSh 65000000
349,5 Bedroom House For Sale In Runda (Kenya) - 3KE1335208,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 95000000
350,6 Bedroom House in Karen  - 3KE1346197,"Karen, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 79000000
351,Newly Built 5 Bedroom Home at Karen,"Miotoni Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
352,5 Bedroom House For Sale In Lower Kabete (Kenya) - 3KE1373780,"Lower Kabete, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
353,Luxurious 3 Bedrooms plus Dsq Off plan Premium House at 40 Acre for sale in Kiambu Road,"Runda, Nairobi, Nairobi",3 Bedrooms,KSh 28950000
354,Exclusive 5 Bedroom House in Kitisuru - 3KE1279194,"Kitisuru, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 123000000
355,5 Bedroom House For Sale In Karen (Kenya) - 3KE1341815,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
356,House  in Kamulu,"Kamulu, Nairobi, Nairobi",3 Bedrooms,KSh 3750000
357,4 Bedroom House For Sale In Runda (Kenya) - 3KE1344875,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 147800000
358,Great Sanctuary! Karen New Five Bedroom Gated Townhouse,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
359,3 Bedroom House for Sale in Runda - 3KE1318856,"Runda, Runda, Nairobi, Nairobi",3 Bedrooms,KSh 78000000
360,7 Bedroom House for sale in Loresho Crescent on Approximately 12 Acre Land,"loresho crescent, Loresho, Nairobi, Nairobi",7 Bedrooms,KSh 85000000
361,* Stunning 5-Bedroom all-Ensuite Villa - Othaya Rd,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
362,Cozy 5-bedroom En-suite Bungalow in Karen,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 55000000
363,"Height of Style – Garden Estate, Ridgeways","Garden Estate, Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 49000000
364,"Standalone 4 Bedroom House Along Brookside Drive, Spring Valley","Brookside Drive, Spring Valley, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
365,5 Bedroom House For Sale In Karen (Kenya) - 3KE1232509,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
366,"5 Br House, Runda","Runda, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
367,5 Bedroom Town-House Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 60000000
368,Standalone 4 Bedroom Bungalow on 0.125 acre - Kahawa Sukari,"Kahawa Sukari, Nairobi, Nairobi",4 Bedrooms,KSh 28000000
369,Villa at Muhugu Park,"Kerarapon Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
370,6 Bedroom House in Karen - 3KE1354364,"Karen, Karen, Nairobi, Nairobi",6 Bedrooms,KSh 150000000
371,Lavington Villa,"Lavington, Ndoto Road, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
372,5 Bedroom Villas,"Riverside Drive, Riverside, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
373,Unique 6 bedroom House For Sale in Garden Estate,"GARDEN ESTATE, Garden Estate, Nairobi, Nairobi",6 Bedrooms,KSh 61000000
374,"Delightful 4 Bedroom Maisonettes, Syokimau","Mombasa Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 12800000
375,4 Bedroom Townhouse For Sale In Westlands (Kenya) - 3KE1315369,"Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 30000000
376,4 Bedroom House For Sale In Syokimau (Kenya) - 3KE1309354,"Syokimau, Nairobi, Nairobi",4 Bedrooms,KSh 13500000
377,"Townhouse 5 Bedrooms, Thika Supper Highway","Thika Road, Nairobi, Nairobi",5 Bedrooms,KSh 34000000
378,4 Bedroom Townhouse For Sale In Langata (Kenya) - 3KE1231761,"Langata, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
379,House for sale in Upper Hill - 3KE1307998,"Upper Hill, Upper Hill, Nairobi, Nairobi",5 Bedrooms,KSh 140000000
380,6 bedroom house for sale in Thome,"Thome, Thome, Nairobi, Nairobi",6 Bedrooms,KSh 65000000
381,5 Bedroom House for sale in Karen - 3ke1304661,"Karen Hardy, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 200000000
382,The Riverine Kitengela,"kitengela, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 15000000
383,4 Bedroom House in Lavington,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,KSh 45000000
384,"Classy 4 Bedroom villa plus sq for sale in Roselyn, Runda","Roselyn, Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 68000000
385,Karen 5 Bed TownHouse Karen in Gated Community,"Near Banda Schl, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
386,"Quick Sale - 4 Bedroom All Ensuite, TV room + DSQ","Kileleshwa, Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
387,6 Bedroom House For Sale In Karen (Kenya) - 3KE1370980,"Karen, Nairobi, Nairobi",6 Bedrooms,Contact seller for price
388,5 Bedroom House For Sale In Karen (Kenya) - 3KE1344809,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 150000000
389,4 Bedroom Townhouse Karen,"Bogani Rd, Karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 90000000
390,Outstanding 5 Bedrooms House,"Mimosa, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
391,5 Bed Townhouse In Lavington - Amboseli Road - 2206-6,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 65000000
392,4 bedroom house for sale in Kiambu road,"Kiambu Road, Nairobi, Nairobi",4 Bedrooms,KSh 34000000
393,3 Bedroom House For Sale In Syokimau (Kenya) - 3KE1374342,"Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 6950000
394,4 Bedroom Town House in Rosslyn,"Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 66300000
395,Brand New 5 Bedroom House in Muthaiga North,"Muthaiga North, Nairobi, Nairobi",5 Bedrooms,KSh 70000000
396,5 Bedroom Villa in Lavington Nairobi,"Lavington Nairobi, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 110000000
397,4 Bedrooms In Lavington - Issac Gathanju Close - 2076-1,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 50000000
398,4 Magnificent Town Houses in Lavington,"Njumbi Road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 98000000
399,3 Bedroom House in Kiambu Road,"Kiambu Road, Nairobi, Nairobi",3 Bedrooms,KSh 25000000
400,Modern 5 Bdrm with Private Garden,"Nairobi, Nairobi",5 Bedrooms,KSh 75000000
401,5 Bedrooms House in Gigiri,"In avenue, Gigiri, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
402,5 Bedroom House in Karen-3KE1374072.,"Miotoni., Karen, Nairobi, Nairobi",5 Bedrooms,KSh 130000000
403,"Lavington, Villa for sale","lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 63000000
404,Exceptional 6 Bedroom House on 26 Acres on Kitisuru Estate - S254,"Tate Close, Kitisuru, Nairobi, Nairobi",6 Bedrooms,KSh 425000000
405,RED OAK ESTATE THIKA ROAD KENYATTA ROAD ( OFF PLAN ),"kenyatta road kimunyu, Thika Road, Nairobi, Nairobi",3 Bedrooms,KSh 4990000
406,Beautiful Karen Villa,"Fair acres, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
407,"House at Muna Tree Estate, Limuru","Limuru, Limuru road, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
408,4 Bedroom Townhouse In Lavington - Chalbi Drive - 2111-4,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 55000000
409,"Beautiful 3Bedroom Bungalow Plus Sq for sale,Ruaka","Ruaka, Ruaka, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
410,5 Bedroom House For Sale In Karen (Kenya) - 3KE1364954,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
411,Attention grabber Muthaiga mansion!,"Muthaiga, Muthaiga, Nairobi, Nairobi",4 Bedrooms,KSh 140000000
412,Upscale retreat! Kiambu road Runda Paradise,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 24000000
413,Luxurious 4 Bedroom Pent House in Lavington .,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 36000000
414,6 Bedroom Castle House Sitting on 1/2 Acre,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 110000000
415,5 Bedroom House for sale in Karen - 3ke1304658,"Fair Acres Road, Karen, Nairobi, Nairobi",5 Bedrooms,KSh 78000000
416,Magnificent 3 Bedroom Townhouse With Dsq For Sale In Syokimau,"Airport Road, Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 10500000
417,4 bedroom House in Garden Estate on 1/2 acre,"Garden Estate., Garden Estate, Nairobi, Nairobi",4 Bedrooms,KSh 42000000
418,Move-in ready! Runda Paradise Townhouse For Sale,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 23500000
419,4 Bedroom House For Sale In Karen (Kenya) - 3KE1364360,"Karen, Nairobi, Nairobi",4 Bedrooms,KSh 158500000
420,House for sale in Lavington,"Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
421,Five Bedroom House in Rosslyn,"Rosslyn, Nairobi, Nairobi",5 Bedrooms,KSh 80000000
422,4 Bedroom Maisonette In Kileleshwa - Makueni Road - 2128-8,"Kileleshwa, Nairobi, Nairobi",4 Bedrooms,KSh 33000000
423,5 Bedroom Cluster House For Sale In Parklands (Kenya) - 3KE1313690,"Parklands, Nairobi, Nairobi",5 Bedrooms,KSh 105000000
424,"5 Bedroom House, Lavington","Lavington, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 85000000
