,desc,location,size,value
48,3 BEDROOM PLUS SQ MANSIONATE ON SALE IN SYOKIMAU,"Syokimau, Nairobi, Nairobi",3 Bedrooms,KSh 12500000
49,5 Bedroom Townhouse in Runda in a Gated Community,"runda water, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 90000000
50,Modern Luxurious 5 Bedroom Townhouse in Kitengela for sale,"Riruta, Nairobi, Nairobi",5 Bedrooms,KSh 20000000
51,Luxury Townhouses in Lavington,"Njumbi Road, Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 110000000
52,4 Bedrooms House,"KAREN, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 70000000
53,KAREN - 3 & 4 BEDROOMS HOUSES(X 2) ON 2 ACRES.,"OFF WINDY RIDGE, Karen, Nairobi, Nairobi",7 Bedrooms,KSh 165000000
54,4 Bedroom Urban Bungalow,"DAGORETTI ROAD,  Dagoretti Road, Nairobi, Nairobi",4 Bedrooms,KSh 48000000
55,"4 Bedroom Maisonette for sale, Westlands","Westlands, Nairobi, Nairobi",4 Bedrooms,KSh 38000000
56,KITisuru:(Two) Exquisite 4 Bedroom all Ensuite Villas,"Kitisuru, Nairobi, Nairobi",4 Bedrooms,KSh 255000000
57,Lovely Modern 4 Bedroom Villa for sale - Nyari,"Rosslyn, Nairobi, Nairobi",4 Bedrooms,KSh 68000000
58,4 Bedroom Maisonette in Sigona,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,KSh 11500000
59,Aspire Homes,"Lavington, Nairobi, Nairobi",4 Bedrooms,KSh 62000000
60,4 Bedroom Townhouse Langata,"Langata Rd, Langata, Nairobi, Nairobi",4 Bedrooms,KSh 22000000
61,4 Bedroom Maisonette for sale in Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 9000000
62,Luxury Home In Runda,"Ruaka Road, Runda, Nairobi, Nairobi",5 Bedrooms,KSh 255000000
63,Runda Homes,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
64,8 Bedroom Townhouse Redhill Limuru,"Limuru Road, Redhill, Limuru road, Nairobi, Nairobi",8 Bedrooms,KSh 67000000
65,4 Bedroom House For Sale In Balozi,"River Dr Balozi Estate, Riruta, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
66,NEW KITISURU - 4 BEDROOMS ALL - ENSUITE DOUBLE STOREY HOUSE PLUS STUDY ROOM.,"NEW KITISURU, Kitisuru, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
67,Peponi Road: Beautifully Furnished Villa,"Peponi, Nairobi, Nairobi",4 Bedrooms,KSh 80000000
68,Nasra 5 Bed Room Maisonette,"Nasra, Umoja, Nairobi, Nairobi",5 Bedrooms,KSh 12500000
69,Spacious 5 Bedroom Townhouse for sale in Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 72000000
70,4 Bedroom Maisonette Karen for sale,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,KSh 75000000
71,Kenyatta Road Town House,"kenyatta road, Thika Road, Nairobi, Nairobi",4 Bedrooms,KSh 25000000
72,4 Bedroom Luxury townhouse - Lavington,"Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 75000000
73,Runda: Magnificent Ambassadorial,"Runda, Nairobi, Nairobi",6 Bedrooms,KSh 145000000
74,4 Bedroom Maisonette Plus DSQ And Study Room sale in Mlolongo,"Mlolongo, Mlolongo, Nairobi, Nairobi",4 Bedrooms,KSh 8500000
75,Elegant Houses in Runda,"Pan Africa Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,KSh 95000000
76,Stunningly Beautyfull House in Runda,"Runda, Nairobi, Nairobi",5 Bedrooms,KSh 190000000
77,Meticulous 5 Bedroom in a Gated Community,"Karen, Nairobi, Nairobi",5 Bedrooms,KSh 100000000
78,18 0405 ST Acquire This Elegant Property Loaded with Stunning Architectural Detail. 18 04 17,"Lavington Green Near Jaffrey Club, Lavington, Nairobi, Nairobi",5 Bedrooms,KSh 83000000
79,Kencom Sacco Homes-Runda,"Runda, Nairobi, Nairobi",4 Bedrooms,KSh 37000000
